title,glass,garnish,recipe,ingredients
Lychee & Blackcurrant Cocktail,Martini glass,Lychee,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Kwai Feh lychee liqueur'], ['0.75 cl', 'Lime cordial (sweetened lime juice)'], ['3⁄4 scoop', 'Chilled water (omit if using wet ice)'], ['0.75 cl', 'Giffard Noir de Bourgogne Cassis']]"
Lychee & Rose Petal Martini,Martini glass,Rose petal,SHAKE all ingredients with ice and strain into chilled glass.,"[['2.5 cl', 'Rutte Dry Gin'], ['2.5 cl', 'Rose petal liqueur'], ['2.5 cl', 'Lychee juice drink'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]"
Lychee & Sake Martini,Martini glass,Lychee,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Kwai Feh lychee liqueur'], ['4.5 cl', 'Sake']]"
Lychee Mac,Old-fashioned glass,Lychee,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6.75 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Kwai Feh lychee liqueur'], ['2.25 cl', ""Stone's Original Green Ginger Wine""]]"
Lychee Martini,Martini glass,Lychee,STIR all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Kwai Feh lychee liqueur'], ['1.5 cl', 'Lychee juice drink'], ['1.5 cl', 'Martini Bianco vermouth'], ['1 cl', 'Lychee syrup']]"
Lychee Rickey,Fizz or Highball (8oz to 10oz),Length of lime peel,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda water.,"[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Kwai Feh lychee liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Lynchburg Lemonade,Collins glass,Lemon slice,"POUR first 3 ingredients into glass, add a splash of soda, fill glass with ice and TOP with soda.","[['4 cl', 'Daddy Rack Tennessee Whiskey'], ['2.5 cl', 'De Kuyper Triple Sec (40%)'], ['2.5 cl', 'Lemon juice (freshly squeezed)'], ['5 cl', 'Lemon-lime soda (Sprite/7-Up)']]"
M.G.F.,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Ketel One Oranje Vodka'], ['3 cl', 'Ketel One Citroen Vodka'], ['3 cl', 'Grapefruit juice (pink)'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mac Orange,Old-fashioned glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', ""Stone's Original Green Ginger Wine""], ['3 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Orange Bitters by Angostura']]"
Macka,Collins glass,Lemon slice,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis'], ['Top up with', 'Thomas Henry Soda Water']]"
Mad Monk Milkshake,Collins glass,Cord around glass,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Irish cream liqueur'], ['6 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Coffee liqueur'], ['6 cl', 'Milk (semi-skimmed/2% fat)'], ['3 cl', 'Single cream / half-and-half']]"
Madras,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Ketel One Vodka'], ['9 cl', 'Cranberry juice (sweetened)'], ['6 cl', 'Orange juice (freshly squeezed)']]"
Madroska,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice filled glass.,"[['6 cl', 'Ketel One Vodka'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['3 cl', 'Orange juice (freshly squeezed)']]"
Mae West cocktail,Martini glass,Melon slice,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Disaronno amaretto'], ['0.75 cl', 'Green melon liqueur'], ['4.5 cl', 'Cranberry juice (sweetened)']]"
Mai Tai (Trader Vic's) Cocktail,Double old-fashioned,"Half lime shell, mint sprig and fruit stick (skewered pineapple cubes and Luxardo Maraschino cherry)",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Orange Curaçao liqueur'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Giffard Orgeat Syrup'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mai Tai (Beaumont-Gantt's recipe),Old-fashioned glass,Mint sprig,"Lightly muddle mint in base of shaker (just to bruise). Add other ingredients, SHAKE with ice and strain glass filled with crushed ice.","[['12 fresh', 'Mint leaves'], ['4.5 cl', 'Overproof pot still rum'], ['3 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', ""Difford's Falernum liqueur""], ['3 cl', 'Lime juice (freshly squeezed)'], ['3 cl', 'Grapefruit juice (pink)'], ['2 dash', 'Angostura Aromatic Bitters']]"
Mai Tai (Difford's recipe),Old-fashioned glass,"Half lime shell, mint sprig and fruit stick (skewered pineapple cubes and Luxardo Maraschino cherry)",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3 cl', 'Havana Club 7yo rum'], ['3 cl', 'Pineapple rum'], ['1.5 cl', 'Orange Curaçao liqueur'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Giffard Orgeat Syrup'], ['0.75 cl', 'Disaronno amaretto'], ['0.75 cl', ""Difford's Falernum liqueur""], ['0.25 cl', 'Giffard Menthe Pastille white crème de menthe'], ['2 dash', 'La Fée Parisienne absinthe']]"
Maiden's Blush,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2 cl', 'Orange Curaçao liqueur'], ['1 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Giffard Grenadine syrup'], ['0.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Maiden's Prayer,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4 cl', 'Rutte Dry Gin'], ['2.5 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1 cl', 'Lemon juice (freshly squeezed)']]"
Mainbrace,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3.75 cl', 'Rutte Dry Gin'], ['3.75 cl', 'De Kuyper Triple Sec (40%)'], ['3.75 cl', 'Grapefruit juice (pink)']]"
Major Bailey #1,Sling glass,Mint sprig,"Lightly MUDDLE (only to bruise) mint with gin in base of shaker. Add other ingredients, SHAKE with ice and fine strain into glass half filled with crushed ice. CHURN (stir) drink with ice using a barspoon. Top the glass to the brim with more crushed ice and churn again. Serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Major Bailey #2,Sling glass,Mint sprig,BLEND all ingredients with 6oz scoop of crushed ice and serve with straws.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Magic Bus,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Patrón Reposado tequila'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Cranberry juice (sweetened)'], ['3 cl', 'Orange juice (freshly squeezed)']]"
Malcolm Lowry,Old-fashioned glass,Lime wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'White overproof rum'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mambo,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.75 cl', 'Italian red bitter liqueur'], ['9 cl', 'Orange juice (freshly squeezed)']]"
Man-Bour-Tini,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Bourbon whiskey'], ['3 cl', 'Mandarine Napoleon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mandarine Collins,Collins glass,Orange slice,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'Mandarine Napoleon liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mandarine Sidecar,Martini glass,Sugar rim (optional) & lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Mandarine Napoleon liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]"
Mandarine Songbird,Collins glass,Orange slice,SHAKE first 3 ingredients with ice and fine strain into ice-filled glass. TOP with ginger beer.,"[['6 cl', 'Mandarine Napoleon liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Ginger Beer']]"
Mandarine Sour,Old-fashioned glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Mandarine Napoleon liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]"
Mandarintini,Martini glass,Orange slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Oranje Vodka'], ['1.5 cl', 'Mandarine Napoleon liqueur'], ['0.75 cl', 'Italian red bitter liqueur'], ['4.5 cl', 'Apple juice']]"
Mandarito,Old-fashioned glass,Mint sprig,"Lightly MUDDLE mint (just to bruise) in base of glass. Add next four ingredients, half fill glass with crushed ice and CHURN (stir). Fill glass to brim with more crushed ice and churn some more. TOP with soda, stir and serve with straws.","[['12 fresh', 'Mint leaves'], ['3 cl', 'Ketel One Vodka'], ['4.5 cl', 'Mandarine Napoleon liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mango Collins,Collins glass,Lemon slice,"SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda, stir and serve with straws.","[['6 cl', 'Rutte Dry Gin'], ['6 cl', 'Mango purée'], ['4.5 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mango Daiquiri,Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['6 cl', 'Mango purée'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Mango Margarita (served 'straight up'),Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Mango purée'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Lime juice (freshly squeezed)']]"
Mango Margarita (frozen),Coupe glass,Mango slice,BLEND all ingredients with 6oz scoop of crushed ice. Serve with straws.,"[['6 cl', 'Patrón Reposado tequila'], ['2.25 cl', 'Mango purée'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mango Cocktail,Coupe glass,Mango slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Citroen Vodka'], ['5 cl', 'Mango purée']]"
Mango Punch,Collins glass,Mango slice,SHAKE all ingredients with ice and fine strain into glass filled with crushed ice.,"[['6 cl', 'White overproof rum'], ['9 cl', 'Mango purée'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mango Rum Cooler,Collins glass,Mango slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['7.5 cl', 'Bacardi Carta Blanca light rum'], ['4.5 cl', 'Mango purée'], ['3 cl', 'Apple juice'], ['4.5 cl', 'Lemon juice (freshly squeezed)']]"
Manhattan (Dry),Coupe glass,Lemon or orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['2.5 cl', 'Martini Extra Dry vermouth'], ['2 dash', 'Angostura Aromatic Bitters']]"
Manhattan (Perfect),Coupe glass,Orange zest twist (discarded) & Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.25 cl', 'Martini Rosso sweet vermouth'], ['1.25 cl', 'Martini Extra Dry vermouth'], ['2 dash', 'Angostura Aromatic Bitters']]"
Manhattan (Sweet),Coupe glass,Orange zest twist (discarded) & Luxardo Maraschino Cherry,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['3 cl', 'Martini Rosso sweet vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]"
Manhattan Island,Martini glass,Skewered Luxardo Maraschino cherry,STIR all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Martini Rosso sweet vermouth'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['3 dash', 'Angostura Aromatic Bitters']]"
Maple Old Fashioned,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).,"[['6 cl', 'Bourbon whiskey'], ['1 cl', 'Maple syrup'], ['2 dash', 'Orange Bitters by Angostura']]"
Maple Leaf,Old-fashioned glass,Lemon zest twist,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.25 cl', 'Maple syrup']]"
Maple Pomme,Collins glass,Apple wedge,"SHAKE first four ingredients with ice and strain into ice-filled glass. TOP with ginger ale, lightly stir and serve with straws.","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Maple syrup'], ['Top up with', 'Thomas Henry Ginger Ale']]"
Marama Rum Punch,Sling glass,Mint sprig & lime wedge,"Lightly MUDDLE mint (just to bruise). Add next five ingredients, SHAKE with ice and strain into ice-filled glass. TOP with lemonade, lightly stir and serve with straws.","[['12 fresh', 'Mint leaves'], ['4.5 cl', 'White overproof rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 dash', 'Angostura Aromatic Bitters'], ['Top up with', 'Lemon-lime soda (Sprite/7-Up)']]"
Margarita (straight-up),Coupe glass,Salt rim (optional) & lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Patrón Silver blanco tequila'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Agave syrup'], ['4 drop', ""Difford's Margarita Bitters (optional)""]]"
Margarita on-the-rocks (Difford's recipe),Old-fashioned glass,Salt rim (optional) & lime wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Patrón Reposado tequila'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Agave syrup'], ['2 drop', ""Difford's Saline Solution (or ½ pinch salt) (optional)""], ['4 drop', ""Difford's Margarita Bitters (optional)""]]"
Margarita (frozen),Coupe glass,Luxardo Maraschino cherry,BLEND all ingredients with 6oz scoop of crushed ice.,"[['4.5 cl', 'Patrón Silver blanco tequila'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Margarita with Salt Foam Float,Margarita glass,Lime wedge,"Combine first three ingredients, POUR into cream whipping siphon and CHARGE with nitrous oxide. Shake and place siphon in a refrigerator for one hour prior to making drink. SHAKE next three ingredients with ice and fine strain into chilled glass. SQUIRT salt foam over surface of drink from siphon.","[['4 spoon', 'Salt'], ['1 pint', 'Chilled water'], ['9 cl', 'Pasteurised egg white'], ['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Lime juice (freshly squeezed)'], ['3 cl', 'De Kuyper Triple Sec (40%)']]"
Marguerite Cocktail,Nick & Nora glass,Orange (or lemon) zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['4.5 cl', 'Martini Extra Dry vermouth'], ['0.125 cl', 'Orange Curaçao liqueur'], ['2 dash', 'Orange Bitters by Angostura']]"
Maria Theresa Margarita,Coupe glass,Lime wedge,"STIR honey with tequila in base of shaker to dissolve honey. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)']]"
Marmalade Cocktail,Coupe glass,Orange zest twist,"STIR marmalade with gin in base of shaker so as to dissolve marmalade. ADD other ingredients, SHAKE with ice and fine strain into chilled glass.","[['4 spoon', 'Orange marmalade'], ['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Marmarita,Coupe glass,Marmite (yeast extract) rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Lime juice (freshly squeezed)']]"
Marny Cocktail,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['2 dash', 'Orange Bitters by Angostura'], ['1 cl', 'Chilled water']]"
Marquee,Coupe glass,Raspberries,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Martinez,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rutte Old Simon Genever'], ['3 cl', 'Martini Rosso sweet vermouth'], ['0.75 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Orange Curaçao liqueur'], ['1 dash', 'Angostura Aromatic Bitters']]"
Martini Royale,Martini glass,Lemon zest twist,STIR vodka and crème de cassis with ice and strain into chilled glass. TOP with chilled champagne.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis'], ['Top up with', 'Brut Champagne']]"
Martini Special,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['0.125 cl', 'Orange flower/blossom water'], ['2 dash', 'La Fée Parisienne absinthe'], ['1 dash', 'Angostura Aromatic Bitters']]"
'Martini' Thyme,Martini glass,Olives on thyme sprig,"MUDDLE thyme in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 sprig', 'Lemon thyme (remove stalks)'], ['3 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Green Chartreuse liqueur'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Mary Pickford Cocktail,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 3 Year Old rum'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['0.5 cl', 'Giffard Grenadine syrup']]"
Mary Queen of Scots,Old-fashioned glass,Lemon zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['4 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2 cl', 'Green Chartreuse liqueur'], ['2 cl', 'Drambuie liqueur']]"
Mary Rose,Coupe glass,Lime zest twist (discarded) & rosemary sprig,"MUDDLE rosemary in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 fresh', 'Rosemary sprig'], ['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Green Chartreuse liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Maurice Cocktail,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'La Fée Parisienne absinthe'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['2.25 cl', 'Orange juice (freshly squeezed)']]"
Mat the Rat,Collins glass,Lime wedge,"SHAKE first four ingredients with ice and strain into ice-filled glass. TOP with lemonade, lightly stir and serve with straws.","[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['4.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Lemon-lime soda (Sprite/7-Up)']]"
Matador #1,Collins glass,Pineapple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Lime juice (freshly squeezed)'], ['6 cl', 'Pineapple juice (fresh pressed)']]"
Mauresque,Collins glass,None,"POUR absinthe and almond syrup into glass. Ideally, serve iced water separately in a small jug (known in France as a 'broc') so the customer can dilute to their own taste. Lastly, add ice to fill the glass.","[['3 cl', 'La Fée Parisienne absinthe'], ['2 cl', 'Giffard Orgeat Syrup'], ['12 cl', 'Chilled water']]"
Mayan,Old-fashioned glass,Pineapple wedge on rim &/or float 3 coffee beans,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Coffee liqueur'], ['4.5 cl', 'Pineapple juice (fresh pressed)']]"
Mayan Whore,Sling glass,Pineapple wedge,"SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda, DO NOT STIR and serve with straws.","[['6 cl', 'Patrón Reposado tequila'], ['2.25 cl', 'Coffee liqueur'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Mayfair Cocktail,Coupe glass,Orange zest twist,"MUDDLE clove in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 dried', 'Clove'], ['5 cl', 'Rutte Dry Gin'], ['2.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.5 cl', 'Orange juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Maxim's Coffee (Hot),Toddy glass,Coffee beans,POUR all ingredients into warmed glass and STIR.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['0.75 cl', ""Galliano L'Autentico liqueur""], ['Top up with', 'Filter coffee (hot)']]"
Medicinal Solution,Collins glass,Lime wedge,"SHAKE first 5 ingredients with ice and strain into ice-filled glass. TOP with tonic water, lightly stir and serve with straws.","[['4.5 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Green Chartreuse liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters'], ['Top up with', 'Thomas Henry Tonic Water']]"
Medium Martini,Martini glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['2.25 cl', 'Martini Rosso sweet vermouth']]"
Melon Ball Shot,Shot glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Green melon liqueur'], ['2.25 cl', 'Orange juice (freshly squeezed)']]"
Melon Collie Martini,Martini glass,Crumbled Cadbury's Flake bar,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'Green melon liqueur'], ['0.75 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]"
Melon Daiquiri #1 (served 'up'),Martini glass,Melon slice or melon balls,"Cut melon into 8 segments and deseed. Cut cubes of flesh from skin of one segment and MUDDLE in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄6 fresh', 'Melon (Cantaloupe)'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Melon Daiquiri (served frozen),Martini glass,Melon slice or melon balls,Cut melon into 8 segments and deseed. Cut cubes of flesh from skin of one segment and place in blender. Add other ingredients and BLEND with half scoop of crushed ice. Serve with straws.,"[['1 segment', 'Melon (Cantaloupe)'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
